Created At,Locations,Organization ID,Organization Name,Organization Logo URL,Organization Slug,Organization Topics,Organization Industry Tags,Organization Stage,Organization Head Count,Source,Slug,Title,URL,Featured,Has Description
1696692171,"['Montreal, QC, Canada']",5978,Vention,https://cdn.filestackcontent.com/anq8wK2zQpuosqstUBfL,vention,"['B2B', 'C100 alumni', 'Industrial', 'Manufacturing', 'Robotics', 'Team true north']","['DeepTech', 'Hardware', 'Manufacturing', 'Software']",series_c_plus,4,career_page,30539619-commercial-account-executive,Commercial Account Executive,https://jobs.smartrecruiters.com/Vention/743999935511350,True,False
1696690358,"['United States', 'Canada', 'Remote']",5500,Vidyard,https://cdn.filestackcontent.com/Iq9JzSkcS0eZ4PmoMbyE,vidyard,"['B2B', 'Media & entertainment', 'Productivity', 'SaaS', 'Software', 'Team true north']","['Media', 'Software']",other,4,career_page,30537486-director-of-sales-enterprise-acquisition,"Director of Sales, Enterprise Acquisition",https://boards.greenhouse.io/vidyard/jobs/5417227,True,True
1696688185,"['Toronto, ON, Canada', 'Vancouver, BC, Canada']",19807,Hootsuite,https://cdn.filepicker.io/api/file/sOeiCoJS9OhHtRpay0Fd,hootsuite-19807,"['500+', 'Advertising/marketing', 'B2B', 'Software', 'Team true north']","['Information Technology', 'Media', 'Sales and Marketing', 'Software']",other,5,career_page,30530335-senior-software-developer-developpeur-logiciel-senior,Senior Software Developer | Développeur logiciel sénior,https://careers.hootsuite.com/jobs/?gh_jid=5401747,True,True
1697920744,"['Vancouver, BC, Canada']",17894,Semios,https://cdn.filestackcontent.com/ht4hbJQsSCeVs1j8Qx8J,semios,"['Agriculture', 'B2B', 'C100 alumni', 'Data & analytics', 'Sensors/IoT']",['Agriculture and Farming'],other,3,career_page,30969438-chemistry-co-op,Chemistry Co-op,https://apply.workable.com/semios/j/3FB5BF6465,False,True
1697885967,"['Toronto, ON, Canada', 'Waterloo, ON, Canada']",10596,Axonify,https://cdn.filepicker.io/api/file/nelvGBqRFyp9A6F6uZoQ,axonify,"['B2B', 'Data & analytics', 'Education', 'Female founded', 'HR', 'SaaS', 'Software']","['Education', 'Information Technology', 'Software']",other,4,career_page,30967923-senior-talent-acquisition-partner-15-months-contract,Senior Talent Acquisition Partner (15 months contract),https://jobs.lever.co/axonify/8ee0c79a-e144-420e-a786-bebd8023cec0,False,True
1697885770,"['Toronto, ON, Canada']",10610,Deep Genomics,https://cdn.filestackcontent.com/vFxTQWdbTjOi36thqKgb,deep-genomics,"['50-99', 'AI/ML', 'B2B', 'Biotechnology', 'Medical/life sciences', 'Software']","['Biotechnology', 'DeepTech', 'Health', 'Software']",series_c_plus,3,career_page,30967494-senior-research-scientist-statistical-genetics,(Senior) Research Scientist - Statistical Genetics,https://jobs.lever.co/deepgenomics/1fed233b-2389-4a69-bd79-c8140c67b6b8,False,True
1697885608,['Remote'],10590,360insights,https://cdn.filepicker.io/api/file/a5gfoozaQlisM5ck7dnB,360insights,"['100-499', 'Advertising/marketing', 'B2B', 'SaaS', 'Software']","['Finance', 'Information Technology', 'Manufacturing', 'Software']",other,4,career_page,30966960-technical-analyst,Technical Analyst,https://jobs.jobvite.com/360insights/job/oiYOofwc,False,False
1697885608,"['Remote', 'Whitby, ON, Canada']",10590,360insights,https://cdn.filepicker.io/api/file/a5gfoozaQlisM5ck7dnB,360insights,"['100-499', 'Advertising/marketing', 'B2B', 'SaaS', 'Software']","['Finance', 'Information Technology', 'Manufacturing', 'Software']",other,4,career_page,30966957-accounting-associate-6-months,Accounting Associate - 6 months,https://jobs.jobvite.com/360insights/job/oHSxofwe,False,False
1697885607,"['Remote', 'Whitby, ON, Canada']",10590,360insights,https://cdn.filepicker.io/api/file/a5gfoozaQlisM5ck7dnB,360insights,"['100-499', 'Advertising/marketing', 'B2B', 'SaaS', 'Software']","['Finance', 'Information Technology', 'Manufacturing', 'Software']",other,4,career_page,30966956-client-support-specialist,Client Support Specialist,https://jobs.jobvite.com/360insights/job/ov5WofwE,False,False
1697885607,"['Remote', 'Whitby, ON, Canada']",10590,360insights,https://cdn.filepicker.io/api/file/a5gfoozaQlisM5ck7dnB,360insights,"['100-499', 'Advertising/marketing', 'B2B', 'SaaS', 'Software']","['Finance', 'Information Technology', 'Manufacturing', 'Software']",other,4,career_page,30966953-client-support-specialist,Client Support Specialist,https://jobs.jobvite.com/360insights/job/o15Wofwa,False,False
