Name,Description,Locations,Logo URL,Topics,Industry Tags,Stage,Head Count,Active Jobs Count
Cohere,Cohere is a platform to build machines that understand the world and make them safely accessible to all.,"Toronto, ON, Canada",https://cdn.filestackcontent.com/fo5R6NHXSKeNL5mr1JlC,"100-499, AI/ML, B2B, Developer tool, SaaS, Software","Information Technology, Software",other,4,31
Shinydocs,Shinydocs Corporation develops enterprise-class Information Management business solutions. Shinydrive is the only solution that can deliver 100% adoption of OpenText’s Content Server. All your users and all your data into your ECM investment with no user training. Shinydocs Collaboration is the easiest and most secure way for organizations to get documents done with people both inside and outside your firewall.,"Waterloo, ON, Canada",https://cdn.filepicker.io/api/file/xuigQdXzT9ifAddi8p2V,"B2B, Productivity, SaaS, Software","Information Technology, Software",other,3,1
Mappedin,"Headquartered in Waterloo, Ontario, Mappedin is the leading platform for indoor spatial data management, digitizing venues, and building best-in-class indoor mapping experiences. Built for scale, our flexible platform and enterprise grade tools enable us to work with leading operators and developers around the world.","Waterloo, ON, Canada",https://cdn.filestackcontent.com/JGvrtjn9R9qX4FWFHmk6,"B2B, Productivity, Proptech, SaaS, Software","Information Technology, Software",series_a,3,4
Fable,Fable is a leading accessibility testing platform powered by people with disabilities.The best digital teams work with Fable to make products more accessible for over 1 billion people who live with disabilities.,"Toronto, ON, Canada",https://cdn.filestackcontent.com/NFpYjN03SNCUMp6gyyyM,"Data & analytics, Female founded, Oneeleven, Productivity, Research, SaaS, Social enterprise, Software","Information Technology, Software",series_a,3,2
Dozr,"Dozr is a contractor to contractor equipment rental marketplace that is disrupting the construction industry by changing the way contractors manage their equipment. Using Dozr's online marketplace contractors can earn income with their high quality but underutilized equipment by listing their idle equipment for rent, sale, or rent with operator to other contractors within their trusted network. Contractors get significant savings by renting the equipment they need through Dozr.","Kitchener, ON, Canada",https://cdn.filestackcontent.com/ujIS7UQ2Scuo6bA5uTfX,"50-99, B2B, C100 alumni, Female founded, Proptech, SaaS, Software","Information Technology, Media, Real Estate",series_b,3,4
MedStack,"Built specifically for the needs of the healthcare industry, MedStack makes it easy for application innovators to build, launch and scale compliant applications that automatically meet the requirements of today's healthcare enterprise systems. We are the only solution that combines the power of a platform with built-in security and provable compliance, so you can confidently provide the assurance needed to sell your digital health application. Trusted by hundreds of digital health companies and validated by major healthcare systems across North America, MedStack is emerging as the de facto standard for delivering the highest levels of data security and privacy compliance.
","Toronto, ON, Canada",https://cdn.filepicker.io/api/file/IgZKiu3SVWZ2EHXtwAGg,,"Blockchain and Crypto, Hardware, Health, Information Technology, Security, Software",seed,2,0
Primal,Intelligent assistants that bring you the right information. Primal learns your interests and seamlessly delivers content from around the Web. Visit us at http://www.primal.com,"Kitchener, ON, Canada",https://cdn.filestackcontent.com/n0qIgJAhSmKmti0oC6vy,"10-49, AI/ML, B2B, Finance",Software,other,2,0
Cloud DX Inc,"CloudDX offers a range of precision vital sign monitoring equipment, software solutions, and mobile apps for the advanced healthcare industry. Cloud DX was launched by Robert Kaul in September 2014 and is based in Brooklyn, New York.","Kitchener, ON, Canada, Brooklyn, NY, USA",https://cdn.filestackcontent.com/Vi90GnjqTWyzOqSupanK,"50-99, B2B, Medical/life sciences, Software","Hardware, Health, Manufacturing, Software",ipo,3,7
Roadmunk,"Roadmunk is a web-based product roadmap visualization planning tool for product managers and stakeholders. It enables its users to manage an entire product portfolio across multiple teams with a range of comprehensive sharing features, master roadmapping, and a two-way data integration with Jira. Roadmunk supports various formats, including PDF, PowerPoint, URL, HTML, and PNG. It was launched in 2012 by Latif Nanji and Tomas Benda. Roadmunk is operated from Toronto, Ontario.","Toronto, ON, Canada",https://cdn.filestackcontent.com/gVMzmcNR0mmo7cSJW8U8,"50-99, B2B, Productivity, SaaS, Software","Information Technology, Software",seed,2,28
Tangam Systems,"Tangam Systems’ software, TYM, optimizes spread planning, game-mix and dynamic management for table games resulting in increased profits, highly productive teams, and a better patron experience.","Waterloo, ON, Canada",https://cdn.filepicker.io/api/file/EGcub2XWQDCcSS1rCCzt,"50-99, B2B, Software",Gaming,other,3,6
Aux Mode,"Monetize Your Stolen Content. We offer content creators opportunities to increase their revenue, help on building a growth strategy, copyright protection, stolen content claiming and manual claiming on videos and audio tracks. As well, we can set up Rental and Purchase. . Our clients are Hollywood Studios, Distributors in the TV, Film and Music industry. We help them claim their audio, video and audio/visual intellectual property rights from online theft. We work on YouTube, Amazon, Facebook and Alibaba (launching in 2019). Our Proprietary Software gives our partners detailed, easy-to-read reports, creating significant efficiencies for those with large libraries, multiple partners/investors, and third-party distributors. What used to take 5 days per client now takes an hour max and is automated and clould based. Please view our website for more details. https://auxmode.com/services/","Toronto, ON, Canada",https://cdn.filestackcontent.com/A2CtHPGsSr6yReDRz5zz,"Data & analytics, Media & entertainment, SaaS, Software","Finance, Information Technology, Software",other,2,6
RideCo,"Developer of a cloud logistics platform created to facilitate personalized mass transit. The company's platform utilizes a mobile application to connect users with established transportation services like shuttles, taxis or limousine services and link them up with other commuters leaving at the same time, picking them up along the route, enabling users to get personalized service for sharing a ride.","Ontario, Canada, Waterloo, ON, Canada",https://cdn.filestackcontent.com/WI17yhEFRaGxGwa4WrAn,"10-49, B2B, Software, Transportation","Information Technology, Software, Transportation",series_a,3,7
Dataperformers,"Dataperformers is an applied artificial intelligence company based in Montreal. Dataperformers attracted top AI researchers and engineers to work on breakthrough Deep Learning models and enable different industries' use cases. We specialize in both advanced predictive analytics and computer vision. We build highly customized solutions based on specific business needs for industries such as Fintech, 3D modeling, biotechnology, IOT, etc. Dataperformers counts major accounts among its customers such as Autodesk, a world wide leader in engineering solutions, la Caisse Desjardins, the largest credit union in North America and Investissement Quebec, the Quebec investment firm leader.","Montreal, QC, Canada",https://cdn.filestackcontent.com/3X5M1qeRRvW9npWWLfxm,"AI/ML, B2B, Media & entertainment, SaaS, Software","DeepTech, Finance, Information Technology, Software",other,1,287
Curv,"Provider of an athlete development platform intended to uncover how to build a better and healthier body. The company's platform extracts physical health metrics and predicted health outcomes from video using machine learning, enabling users to track their improvement, compare against others and learn how to optimize their body growth.","Ontario, Canada, Toronto, ON, Canada, Nova Scotia, Canada, Halifax, NS, Canada, Halifax, NS, Canada, Halifax Regional Municipality, NS, Canada",https://cdn.filepicker.io/api/file/txz0NkBQKTGYPg8dtvbQ,"AI/ML, B2C, Healthcare & wellness, Software","Education, Health, Software, Sports",seed,2,126
Bananatag,"Bananatag is the platform built for employee communicators. Through a simple drag-and-drop interface that integrates with your email client and distribution lists, Bananatag enables you to create beautiful employee emails, build custom distribution lists, and measure engagement so you can improve your internal communications and prove your success.","Kelowna, BC, Canada",https://cdn.filepicker.io/api/file/xSkrpBV1SLWpyMbQp4HZ,"B2C, Productivity, Software","Information Technology, Software",other,2,109
Arctic Wolf,"Arctic Wolf offers a security operations center as a concierge service that helps companies end cyber risk. Arctic Wolf solutions include Managed Detection and Response (MDR), Managed Risk, and Managed Cloud Monitoring, each delivered through the industry’s original concierge security team. Its concierge security engineers act as an extension of a company's internal team, providing tailored threat detection and response, as well as ongoing risk management to keep your valuable business data safe. The company was founded in 2012 and headquartered in Eden Prairie, Minnesota","Eden Prairie, MN, USA, Waterloo, ON, Canada",https://cdn.filestackcontent.com/Sx4RbOQDKr4lauSjrAlg,"500+, B2B, Cybersecurity, Software, Team true north","Information Technology, Security, Software",other,5,100
Mejuri,"Mejuri introduces exclusive precious jewelry that take women from day to night at fashionable prices. The company works with top jewelers, committed to exceptional craftsmanship and ethical practices, to create quality essentials. It also delivers fine jewelry at a fraction of the price. The company is backed by a fast supply chain that enables it to present new editions on a weekly basis. It sells directly to consumers cutting out middlemen costs and passing on the savings to the customers. It is the company's mission to have women embrace a daily dose of luxury. Mejuri was founded on 2015 and is based in Toronto, Ontario, Canada.","Ontario, Canada, Toronto, ON, Canada",https://cdn.filestackcontent.com/3DLTY70oTNSpgNdOuWlp,"100-499, B2C, C100 alumni, Consumer & lifestyle, Ecommerce/product, Female founded, Software","Consumer Products, Fashion, Transportation",other,4,97
The Lion Electric,"Lion Electric is an innovative manufacturer of zero-emission vehicles. The company creates, designs and manufactures all-electric class 5 to class 8 commercial urban trucks and all-electric buses and minibuses for the school, paratransit and mass transit segments. Lion is a North American leader in electric transportation and designs, builds and assembles all its vehicles' components, including chassis, battery packs, truck cabins and bus bodies.","Sacramento, CA, USA, saint-jérôme, qc, canada",https://cdn.filepicker.io/api/file/AKNL1A6HQFqHKeOsXliU,"100-499, B2B, Energy, Hardware (non-robotics), Manufacturing, Transportation","Hardware, Manufacturing, Sustainability, Transportation, Travel",ipo,4,91
